source_file,Video #,Cell,Track,keep_for_condensate_pool,filter_rule,filter_reason,n_valid_behavior_frames,n_diffusive,n_constrained,n_bound,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,dominant_state,dominant_state_name,dominant_fraction,category,present_states
multi,4,2,152,True,multi_bound_constraint,frac_constrained=0.500 >= 0.150,12,0,6,6,0.0,0.5,0.5,0,2,bound,0.5,bound_constraint,"constrained,bound"
multi,4,2,154,False,reject_bound_constraint_low_constrained,frac_constrained=0.043 < 0.150,70,0,3,67,0.0,0.04285714285714286,0.9571428571428572,0,2,bound,0.9571428571428572,bound_constraint,"constrained,bound"
multi,4,2,156,True,multi_all_three,frac_constrained=0.757 > 0.150; max_consecutive_diffusive=3 < 4,37,3,28,6,0.08108108108108109,0.7567567567567568,0.16216216216216217,3,1,constrained,0.7567567567567568,all_three,"diffusive,constrained,bound"
multi,4,2,157,False,reject_constraint_diffusion,"frac_constrained=0.400, max_consecutive_diffusive=6",15,9,6,0,0.6,0.4,0.0,6,0,diffusive,0.6,constraint_diffusion,"diffusive,constrained"
multi,4,2,159,True,multi_bound_constraint,frac_constrained=0.769 >= 0.150,26,0,20,6,0.0,0.7692307692307693,0.23076923076923078,0,1,constrained,0.7692307692307693,bound_constraint,"constrained,bound"
multi,4,2,162,True,multi_bound_constraint,frac_constrained=0.207 >= 0.150,58,0,12,46,0.0,0.20689655172413793,0.7931034482758621,0,2,bound,0.7931034482758621,bound_constraint,"constrained,bound"
multi,4,2,164,True,multi_bound_constraint,frac_constrained=0.696 >= 0.150,23,0,16,7,0.0,0.6956521739130435,0.30434782608695654,0,1,constrained,0.6956521739130435,bound_constraint,"constrained,bound"
multi,4,2,168,True,multi_bound_constraint,frac_constrained=0.214 >= 0.150,14,0,3,11,0.0,0.21428571428571427,0.7857142857142857,0,2,bound,0.7857142857142857,bound_constraint,"constrained,bound"
multi,4,2,174,False,reject_constraint_diffusion,"frac_constrained=0.600, max_consecutive_diffusive=4",10,4,6,0,0.4,0.6,0.0,4,1,constrained,0.6,constraint_diffusion,"diffusive,constrained"
multi,4,2,177,False,reject_constraint_diffusion,"frac_constrained=0.692, max_consecutive_diffusive=4",13,4,9,0,0.3076923076923077,0.6923076923076923,0.0,4,1,constrained,0.6923076923076923,constraint_diffusion,"diffusive,constrained"
multi,4,2,178,False,reject_constraint_diffusion,"frac_constrained=0.250, max_consecutive_diffusive=5",16,12,4,0,0.75,0.25,0.0,5,0,diffusive,0.75,constraint_diffusion,"diffusive,constrained"
multi,4,2,181,False,reject_constraint_diffusion,"frac_constrained=0.650, max_consecutive_diffusive=7",20,7,13,0,0.35,0.65,0.0,7,1,constrained,0.65,constraint_diffusion,"diffusive,constrained"
multi,4,2,185,True,multi_bound_constraint,frac_constrained=0.697 >= 0.150,33,0,23,10,0.0,0.696969696969697,0.30303030303030304,0,1,constrained,0.696969696969697,bound_constraint,"constrained,bound"
multi,4,2,193,True,multi_bound_constraint,frac_constrained=0.333 >= 0.150,12,0,4,8,0.0,0.3333333333333333,0.6666666666666666,0,2,bound,0.6666666666666666,bound_constraint,"constrained,bound"
multi,4,2,194,True,multi_bound_constraint,frac_constrained=0.267 >= 0.150,15,0,4,11,0.0,0.26666666666666666,0.7333333333333333,0,2,bound,0.7333333333333333,bound_constraint,"constrained,bound"
multi,4,2,196,True,multi_bound_constraint,frac_constrained=0.250 >= 0.150,12,0,3,9,0.0,0.25,0.75,0,2,bound,0.75,bound_constraint,"constrained,bound"
multi,4,2,199,True,multi_bound_constraint,frac_constrained=0.421 >= 0.150,19,0,8,11,0.0,0.42105263157894735,0.5789473684210527,0,2,bound,0.5789473684210527,bound_constraint,"constrained,bound"
multi,4,2,200,True,multi_bound_constraint,frac_constrained=0.238 >= 0.150,42,0,10,32,0.0,0.23809523809523808,0.7619047619047619,0,2,bound,0.7619047619047619,bound_constraint,"constrained,bound"
