Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
3,1,51,0,diffusion,single_stable_state,668,679,12,12,12,0,12,0,0,12,0,0,0.12
3,1,54,0,diffusion,single_stable_state,708,723,16,16,16,0,16,0,0,16,0,0,0.16
3,1,61,0,diffusion,single_stable_state,1114,1124,11,11,11,0,11,0,0,11,0,0,0.11
3,1,76,0,diffusion,single_stable_state,1658,1670,13,13,13,0,13,0,0,13,0,0,0.13
3,1,84,0,diffusion,single_stable_state,1736,1746,11,11,11,0,11,0,0,11,0,0,0.11
3,1,88,0,diffusion,single_stable_state,1748,1760,13,13,13,0,13,0,0,13,0,0,0.13
3,1,89,0,diffusion,single_stable_state,1852,1861,10,10,10,0,10,0,0,10,0,0,0.1
3,1,97,0,diffusion,single_stable_state,2176,2185,10,10,10,0,10,0,0,10,0,0,0.1
3,1,101,0,diffusion,single_stable_state,2320,2332,13,13,11,2,11,2,0,11,0,0,0.13
3,1,104,0,diffusion,single_stable_state,2376,2386,11,11,11,0,11,0,0,11,0,0,0.11
3,1,106,0,diffusion,single_stable_state,2515,2526,12,12,12,0,12,0,0,12,0,0,0.12
3,1,107,0,diffusion,single_stable_state,2520,2531,12,12,12,0,12,0,0,12,0,0,0.12
3,1,108,0,diffusion,single_stable_state,2687,2699,13,13,13,0,13,0,0,13,0,0,0.13
3,1,112,0,diffusion,single_stable_state,2764,2773,10,10,10,0,10,0,0,10,0,0,0.1
3,1,118,0,diffusion,single_stable_state,2947,2960,14,14,14,0,14,0,0,14,0,0,0.14
3,1,119,0,diffusion,single_stable_state,2963,2974,12,12,12,0,12,0,0,12,0,0,0.12
3,1,120,0,diffusion,single_stable_state,2988,3009,22,22,21,1,21,1,0,21,0,0,0.22
3,1,121,0,diffusion,single_stable_state,3009,3021,13,13,13,0,13,0,0,13,0,0,0.13
3,1,122,0,diffusion,single_stable_state,3021,3032,12,12,10,2,10,2,0,10,0,0,0.12
3,1,132,0,diffusion,single_stable_state,3651,3664,14,14,12,2,12,2,0,12,0,0,0.14
3,2,2,0,diffusion,single_stable_state,9,18,10,10,10,0,10,0,0,10,0,0,0.1
3,2,6,0,diffusion,single_stable_state,43,52,10,10,10,0,10,0,0,10,0,0,0.1
3,2,9,0,diffusion,single_stable_state,62,72,11,11,11,0,11,0,0,11,0,0,0.11
3,2,14,1,constrained_diffusion,single_stable_state,137,157,21,21,21,0,0,21,0,0,21,0,0.21
3,2,23,0,diffusion,single_stable_state,315,324,10,10,10,0,10,0,0,10,0,0,0.1
3,2,38,0,diffusion,single_stable_state,545,559,15,15,15,0,15,0,0,15,0,0,0.15
3,2,39,0,diffusion,single_stable_state,568,578,11,11,11,0,11,0,0,11,0,0,0.11
3,2,55,0,diffusion,single_stable_state,1265,1280,16,16,16,0,16,0,0,16,0,0,0.16
3,2,60,0,diffusion,single_stable_state,1307,1317,11,11,11,0,11,0,0,11,0,0,0.11
3,2,64,0,diffusion,single_stable_state,1349,1359,11,11,11,0,11,0,0,11,0,0,0.11
3,2,67,1,constrained_diffusion,single_stable_state,1460,1475,16,16,16,0,0,16,0,0,16,0,0.16
3,2,69,0,diffusion,single_stable_state,1487,1497,11,11,11,0,11,0,0,11,0,0,0.11
3,2,79,0,diffusion,single_stable_state,1566,1576,11,11,11,0,11,0,0,11,0,0,0.11
3,2,86,0,diffusion,single_stable_state,1609,1619,11,11,10,1,10,1,0,10,0,0,0.11
3,2,89,2,bound,single_stable_state,1619,1642,24,24,22,2,0,2,22,0,0,22,0.24
3,2,90,0,diffusion,single_stable_state,1633,1644,12,12,12,0,12,0,0,12,0,0,0.12
3,2,100,0,diffusion,single_stable_state,1982,1995,14,14,13,1,13,1,0,13,0,0,0.14
3,2,109,0,diffusion,single_stable_state,2164,2174,11,11,11,0,11,0,0,11,0,0,0.11
3,2,119,0,diffusion,single_stable_state,2530,2540,11,11,11,0,11,0,0,11,0,0,0.11
4,1,2,0,diffusion,single_stable_state,551,562,12,12,12,0,12,0,0,12,0,0,0.12
