protein,dataset_name,condition,replicate,track_id,distance_to_H2B_Bound,distance_to_MCM2_Bound,P_H2B_Bound,P_MCM2_Bound,closer_to_bound_control
NONO,HAP1-0426-CT,CT,426,212,0.8520730022406559,0.8812383080318132,0.5020922730769959,0.49790772692300406,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,213,0.8769835623822801,0.8394400769851348,0.4972145555658878,0.5027854444341122,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,214,1.4264908224784951,1.381966381490661,0.49464402104187055,0.5053559789581294,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,215,1.3194251114702502,1.2735986337571896,0.49490765487611743,0.5050923451238826,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,217,0.9773687814066256,1.0220818474352427,0.5037401069278807,0.49625989307211926,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,221,1.080648093563472,1.041495199104548,0.49642359987334594,0.5035764001266541,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,226,1.0527936910313827,1.0094902977919393,0.49615995175813665,0.5038400482418633,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,227,0.9744395301184822,0.9465567050228223,0.4976759530787136,0.5023240469212864,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,230,1.2288611432063468,1.1900142575246,0.4959622170651299,0.5040377829348701,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,237,1.4447246839497323,1.3985594671639072,0.494380390185976,0.505619609814024,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,242,0.21688372248200954,0.23255151740821642,0.5002466469031281,0.4997533530968718,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,255,1.5749167105373727,1.5281086908386188,0.4937872324089567,0.5062127675910433,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,265,1.6698102672175326,1.623345327301972,0.4934577077608189,0.5065422922391811,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,269,1.5558116880159256,1.5099554351320381,0.493984949807151,0.506015050192849,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,1,0.8255939434707134,0.779641629464011,0.49681907572951534,0.5031809242704847,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,3,1.5414815078750315,1.5557962435168589,0.5018286145127451,0.49817138548725487,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,4,1.502643367857336,1.4561800780023382,0.49411676245499747,0.5058832375450025,neither_clear_margin
