protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,bound_control_class,source_file,source_folder,video_id,cell_id,track_id,n_frames,track_length,step_size_mean,step_size_median,step_size_p95,path_length,net_displacement,Rg,intensity_mean,intensity_std,frac_diffusive,frac_constrained,frac_bound,max_consecutive_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,234,30,30,0.30806892217671983,0.29848617691243085,0.5253300343744587,8.933998743124874,0.2860320997652473,0.4651490262827672,90715.46666666666,1929.9124820845498,0.0,0.0,1.0,0,0,30,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,235,46,46,0.34205292491239797,0.30157051768773013,0.6781568390156443,15.392381621057908,0.5545135587580897,0.34241530399186604,89581.08695652174,1809.9902618042138,0.0,0.0,1.0,0,0,46,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,236,81,81,0.46773536085412937,0.4760775430055604,0.8508556634816841,37.41882886833035,0.8249402362171329,0.5788651175799663,90430.91358024691,1651.7008748372907,0.0,0.0,1.0,0,0,81,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,239,24,24,0.4649622547301241,0.4362790422974973,0.9279687835582613,10.694131858792854,0.2848143841522875,0.458237070328656,88325.125,1743.4515320378762,0.0,0.0,1.0,0,0,24,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,243,40,40,0.3867085387759167,0.36283813776783497,0.6972095059185899,15.081633012260752,0.8971386174156566,0.44497822873244747,90411.625,1579.8579567358386,0.0,0.0,1.0,0,0,40,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,244,38,38,0.46123096761715016,0.40069053465015836,1.00178475158328,17.065545801834556,0.14224433920004254,0.3746751515018782,85671.94736842105,967.6731340966055,0.0,0.0,1.0,0,0,38,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,1,261,52,52,0.401585502746765,0.35865452362988753,0.8117092134856098,20.480860640085016,0.4616500831872653,0.33308962904587774,88161.03846153847,1294.362617942514,0.0,0.0,1.0,0,0,52,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,2,33,33,0.3119377430886805,0.2914692707082883,0.6047637737259264,9.982007778837776,0.12205820836267071,0.2857685371870581,91495.75757575757,1136.5565326432027,0.0,0.0,1.0,0,0,33,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,6,18,18,0.3010840197803101,0.2508897457057492,0.5973396877881801,5.118428336265271,0.3250462326713963,0.34840265367110934,92725.61111111111,1724.397529535832,0.0,0.0,1.0,0,0,18,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,10,16,16,0.2922897525525601,0.2138293248379741,0.6223470649107165,4.384346288288402,0.6317544686737805,0.3460266746590529,94309.1875,1944.733236847666,0.0,0.0,1.0,0,0,16,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,18,12,12,0.3850534137008465,0.442089339275196,0.6374188094553399,4.235587550709312,0.5425999064435217,0.2735112796692923,94163.75,3103.2191826318917,0.0,0.0,1.0,0,0,12,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,21,29,29,0.30713432679209757,0.27522110917513987,0.5692665364039489,8.599761150178733,0.291721454757733,0.3297518617521733,94422.79310344828,1562.6854719477153,0.0,0.0,1.0,0,0,29,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,39,67,67,0.3929249888063452,0.3802531852501913,0.7097271193412498,25.933049261218784,0.630809379533005,0.43639531173240376,91293.9104477612,2078.486393707831,0.0,0.0,1.0,0,0,67,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,41,19,19,0.36997546996136277,0.3251685075880497,0.6819909324461487,6.65955845930453,1.038211681003692,0.4911702049712758,91703.84210526316,1476.0020800631944,0.0,0.0,1.0,0,0,19,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,43,58,58,0.4020570575386953,0.3468707496211212,0.8385748675114637,22.917252279705632,0.35003292988589124,0.3707836004703016,91002.5,1025.5107798795304,0.0,0.0,1.0,0,0,58,0
H2B,HAP1-0117-CT,HAP1,0117,CT,HAP1-0117-CT,H2B_Bound,single-behaviour-track-H2b-bound.csv,D:\Tianzi\condensate_classification_pj\H2b\HAP1-0117-CT\CSV\SF_10ms_condensate_pj_,1,2,44,107,107,0.31770757033960945,0.29417061495115604,0.6271577593541453,33.677002455998604,0.6316984364274855,0.3603299757050219,89571.94392523365,3027.0967124061162,0.0,0.0,1.0,0,0,107,0
