protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,video_id,cell_id,track_id,old_classification,final_control_guided_class
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,139,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,141,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,144,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,152,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,153,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,3,162,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,14,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,18,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,40,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,45,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,49,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,58,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,86,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,91,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,92,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,96,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,98,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,99,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,102,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,106,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,121,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,122,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,128,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,132,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,136,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,139,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,143,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,146,mixed,
